2025-12-08 22:01:13 | INFO     | ReconTool | Logging session started: 20251208_220113
2025-12-08 22:01:13 | INFO     | ReconTool | [SYSTEM] Recon Tool started
2025-12-08 22:01:13 | INFO     | ReconTool | [NETWORK] Local IP: 192.168.1.26, Gateway: 192.168.1.1
2025-12-08 22:01:13 | INFO     | ReconTool | [SECURITY] MITM detector started
2025-12-08 22:01:40 | INFO     | ReconTool | [SYSTEM] IP Forwarding set to 1
2025-12-08 22:01:40 | INFO     | ReconTool | [ATTACK] Spoofing started: 192.168.1.11 <-> 192.168.1.1
2025-12-08 22:01:46 | INFO     | ReconTool | [ATTACK] Restoring network config
2025-12-08 22:01:46 | INFO     | ReconTool | [SYSTEM] IP Forwarding set to 0
2025-12-08 22:01:47 | INFO     | ReconTool | [SYSTEM] IP Forwarding set to 1
2025-12-08 22:01:47 | INFO     | ReconTool | [ATTACK] Spoofing started: 192.168.1.19 <-> 192.168.1.1
2025-12-08 22:02:19 | INFO     | ReconTool | [UI] Exported Sniffing data to /home/kali/Downloads/KO Projects/recon_toolv1/test3.pcap
2025-12-08 22:02:40 | INFO     | ReconTool | [ATTACK] Restoring network config
2025-12-08 22:02:40 | INFO     | ReconTool | [SYSTEM] IP Forwarding set to 0
2025-12-08 22:02:50 | INFO     | ReconTool | [UI] Exported Sniffing data to /home/kali/Downloads/KO Projects/recon_toolv1/test4.pcap
2025-12-08 22:05:43 | INFO     | ReconTool | [SYSTEM] Application closing
